0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
13:03:56,0,Hz,0,W,1000,mbar,1000,mbar,,,13:50:58,0,Hz,0,W,22,mbar,18,mbar
13:03:58,0,Hz,0,W,1000,mbar,1000,mbar,,,13:51:00,0,Hz,0,W,19,mbar,16,mbar
13:04:00,0,Hz,0,W,1000,mbar,1000,mbar,,,13:51:02,0,Hz,0,W,17,mbar,15,mbar
13:04:02,0,Hz,0,W,1000,mbar,1000,mbar,,,13:51:04,0,Hz,0,W,16,mbar,13,mbar
13:04:04,0,Hz,0,W,1000,mbar,1000,mbar,,,13:51:06,0,Hz,0,W,14,mbar,12,mbar
13:04:06,0,Hz,0,W,1000,mbar,580,mbar,,,13:51:08,0,Hz,0,W,12,mbar,10,mbar
13:04:08,0,Hz,0,W,1000,mbar,390,mbar,,,13:51:10,0,Hz,0,W,11,mbar,9.6,mbar
13:04:10,0,Hz,0,W,1000,mbar,340,mbar,,,13:51:12,0,Hz,0,W,10,mbar,9,mbar
13:04:12,0,Hz,0,W,1000,mbar,280,mbar,,,13:51:14,0,Hz,0,W,9.4,mbar,8.5,mbar
13:04:14,0,Hz,0,W,1000,mbar,200,mbar,,,13:51:16,0,Hz,0,W,8.7,mbar,7.9,mbar
13:04:16,0,Hz,0,W,1000,mbar,160,mbar,,,13:51:18,0,Hz,0,W,8.2,mbar,7.2,mbar
13:04:18,0,Hz,0,W,550,mbar,130,mbar,,,13:51:20,0,Hz,0,W,7.6,mbar,6.8,mbar
13:04:20,0,Hz,0,W,360,mbar,100,mbar,,,13:51:22,0,Hz,0,W,7,mbar,6.6,mbar
13:04:22,0,Hz,0,W,210,mbar,90,mbar,,,13:51:24,0,Hz,0,W,6.7,mbar,6.4,mbar
13:04:24,0,Hz,0,W,160,mbar,73,mbar,,,13:51:26,0,Hz,0,W,6.6,mbar,6.1,mbar
13:04:26,0,Hz,0,W,110,mbar,65,mbar,,,13:51:28,0,Hz,0,W,6.3,mbar,5.9,mbar
13:04:28,0,Hz,0,W,85,mbar,57,mbar,,,13:51:30,0,Hz,0,W,6.1,mbar,5.7,mbar
13:04:30,0,Hz,0,W,73,mbar,48,mbar,,,13:51:32,0,Hz,0,W,5.9,mbar,5.5,mbar
13:04:32,0,Hz,0,W,62,mbar,39,mbar,,,13:51:34,0,Hz,0,W,5.7,mbar,5.3,mbar
13:04:34,0,Hz,0,W,52,mbar,37,mbar,,,13:51:36,0,Hz,0,W,5.5,mbar,5.1,mbar
13:04:36,0,Hz,0,W,41,mbar,33,mbar,,,13:51:38,0,Hz,0,W,5.4,mbar,4.9,mbar
13:04:38,0,Hz,0,W,36,mbar,29,mbar,,,13:51:40,0,Hz,0,W,5.2,mbar,4.8,mbar
13:04:40,0,Hz,0,W,32,mbar,26,mbar,,,13:51:42,0,Hz,0,W,5,mbar,4.6,mbar
13:04:42,0,Hz,0,W,29,mbar,22,mbar,,,13:51:44,0,Hz,0,W,4.8,mbar,4.4,mbar
13:04:44,0,Hz,0,W,24,mbar,19,mbar,,,13:51:46,0,Hz,0,W,4.7,mbar,4.3,mbar
13:04:46,0,Hz,0,W,21,mbar,17,mbar,,,13:51:48,0,Hz,0,W,4.6,mbar,4.1,mbar
13:04:48,0,Hz,0,W,18,mbar,16,mbar,,,13:51:50,0,Hz,0,W,4.5,mbar,4,mbar
13:04:50,0,Hz,0,W,17,mbar,15,mbar,,,13:51:52,0,Hz,0,W,4.3,mbar,3.9,mbar
13:04:52,0,Hz,0,W,15,mbar,13,mbar,,,13:51:54,0,Hz,0,W,4.2,mbar,3.9,mbar
13:04:54,0,Hz,0,W,14,mbar,11,mbar,,,13:51:56,0,Hz,0,W,4.1,mbar,3.8,mbar
